frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
0,0,181.0,181.0,181.0,181.0,181.0,181.0,0.3756731152534485,0.6288115382194519,-0.03953137993812561,0.9189740046858788,0.6107209920883179,-0.8642721176147461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5769376512616873,0.5410223752260208,-0.9451415315270424,-131.79221319167794
1,33,181.0,181.0,181.0,181.0,181.0,181.0,0.3699726462364197,0.6212958693504333,-0.08487526327371597,0.9245850741863251,0.6069930791854858,-0.8712367415428162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5794716775417328,0.539101667702198,-0.9718000236898661,-132.10033780618338
2,66,181.0,181.0,181.0,181.0,181.0,181.0,0.3602936863899231,0.647563636302948,-0.39668193459510803,0.9350694119930267,0.6169826984405518,-0.9817767143249512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593164436519146,0.5497798696160316,-1.1739701703190804,-123.45940694790555
3,100,181.0,181.0,181.0,181.0,181.0,181.0,0.37705808877944946,0.6456787586212158,-0.24310043454170227,0.9490238763391972,0.6163827180862427,-1.0531179904937744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6030953312292695,0.5558720827102661,-1.1283235624432564,-128.5754467545947
4,133,181.0,181.0,181.0,181.0,181.0,181.0,0.36990654468536377,0.6590253710746765,-0.19994045794010162,0.9562680162489414,0.6123641133308411,-0.8697617650032043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6066761845722795,0.5549155846238136,-1.0671548433601856,-124.92803215145061
5,166,181.0,181.0,181.0,181.0,181.0,181.0,0.36141258478164673,0.6457862257957458,-0.1888769567012787,0.9505054391920567,0.5928845405578613,-0.6378359198570251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6028040358796716,0.5427453219890594,-0.8752185478806496,-124.76139204410771
6,200,181.0,181.0,181.0,181.0,181.0,181.0,0.3716317415237427,0.641653835773468,-0.2284547984600067,0.9718729201704264,0.5829625725746155,-0.7187092900276184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6122678951360285,0.5358242318034172,-0.9592838957905769,-127.87353743376171
7,233,181.0,181.0,181.0,181.0,181.0,181.0,0.35476523637771606,0.6531254649162292,-0.3284164071083069,0.9822323378175497,0.5931485295295715,-0.8189548850059509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6041201069019735,0.542327493429184,-1.154931515455246,-128.54335570008516
8,266,181.0,181.0,181.0,181.0,181.0,181.0,0.33378124237060547,0.6588671207427979,-0.0416422002017498,0.9653448723256588,0.6116308569908142,-0.6773304343223572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5771732246503234,0.5543800815939903,-0.8907323656603694,-131.8333262975085
9,300,181.0,181.0,181.0,181.0,181.0,181.0,0.2702317237854004,0.6981759071350098,0.026193222030997276,0.9347257614135742,0.6311591863632202,-0.7551963329315186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5302136391401291,0.5808503776788712,-0.9323995509184897,-130.76710425551204
10,333,181.0,181.0,181.0,181.0,181.0,181.0,0.227056622505188,0.7123222351074219,-0.057726211845874786,0.9397708848118782,0.6513758301734924,-0.6538227200508118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5136830378323793,0.590098537504673,-0.8661344964057207,-127.23496837737245
11,366,181.0,181.0,181.0,181.0,181.0,181.0,0.2167559266090393,0.6890056133270264,-0.25867390632629395,0.9581021405756474,0.6350451111793518,-0.7432330250740051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5287365922704339,0.5655752792954445,-1.114416018128395,-121.32162503162385
12,400,181.0,181.0,181.0,181.0,181.0,181.0,0.19094091653823853,0.6700589060783386,-0.29806283116340637,0.9604139849543571,0.6117064356803894,-0.6220130324363708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5364660676568747,0.5386725291609764,-1.086528979241848,-110.98855944290514
13,433,181.0,181.0,181.0,181.0,181.0,181.0,0.12406843900680542,0.6559880375862122,-0.34470218420028687,0.9715738371014595,0.6190720200538635,-0.5877321362495422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525042774155736,0.5270974636077881,-1.03841894865036,-101.65466039111911
14,466,181.0,181.0,181.0,181.0,181.0,181.0,0.10972189903259277,0.6611856818199158,-0.4502759277820587,0.9590551964938641,0.632542073726654,-0.6952670216560364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5166654093191028,0.5295476391911507,-1.1686008796095848,-98.59079683746417
15,500,181.0,181.0,181.0,181.0,181.0,181.0,0.09962433576583862,0.6611075401306152,-0.5968536734580994,0.9615384563803673,0.6464331150054932,-0.7841256260871887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5272514503449202,0.5311967059969902,-1.393535852432251,-91.55616614068857
16,533,181.0,181.0,181.0,181.0,181.0,181.0,0.11836045980453491,0.6634693741798401,-0.36451077461242676,0.954924363642931,0.6686171293258667,-0.553467869758606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5369063960388303,0.5427935123443604,-1.1883964538574219,-89.87728035729718
